attack,target_type,nationality,weapon
Assassination,Business,Germany,Explosives/Bombs/Dynamite
Assassination,Police,Northern Ireland,Firearms
Bombing/Explosion,Military,Great Britain,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,South Africa,Explosives/Bombs/Dynamite
Armed Assault,Military,Peru,Firearms
Unknown,Private Citizens & Property,Sri Lanka,Unknown
Bombing/Explosion,Private Citizens & Property,France,Explosives/Bombs/Dynamite
Assassination,Private Citizens & Property,Northern Ireland,Firearms
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Afghanistan,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Government (General),Peru,Incendiary
Facility/Infrastructure Attack,Government (General),Peru,Incendiary
Facility/Infrastructure Attack,Government (General),Peru,Incendiary
Assassination,Government (General),Peru,Melee
Bombing/Explosion,Educational Institution,Argentina,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Police,Peru,Incendiary
Hostage Taking (Kidnapping),Religious Figures/Institutions,United States,Unknown
Hostage Taking (Kidnapping),Religious Figures/Institutions,Philippines,Unknown
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Unknown,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Peru,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Sri Lanka,Firearms
Bombing/Explosion,Police,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Portugal,Explosives/Bombs/Dynamite
Bombing/Explosion,Religious Figures/Institutions,Portugal,Explosives/Bombs/Dynamite
Armed Assault,Military,Colombia,Firearms
Armed Assault,Military,Colombia,Firearms
Armed Assault,Private Citizens & Property,Guatemala,Firearms
Assassination,Government (General),Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Argentina,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Utilities,Colombia,Incendiary
Facility/Infrastructure Attack,Utilities,Colombia,Incendiary
Facility/Infrastructure Attack,Utilities,Colombia,Incendiary
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Assassination,Private Citizens & Property,Northern Ireland,Firearms
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Portugal,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Portugal,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Portugal,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Police,India,Unknown
Assassination,Educational Institution,El Salvador,Unknown
Armed Assault,Police,South Africa,Firearms
Facility/Infrastructure Attack,Government (General),Great Britain,Incendiary
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Government (Diplomatic),Saudi Arabia,Unknown
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Lebanon,Explosives/Bombs/Dynamite
Unknown,Business,Sri Lanka,Unknown
Unknown,Private Citizens & Property,Sri Lanka,Unknown
Armed Assault,Military,Honduras,Firearms
Armed Assault,Military,Israel,Incendiary
Unknown,Military,Sri Lanka,Unknown
Bombing/Explosion,Government (General),Argentina,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Private Citizens & Property,France,Incendiary
Armed Assault,Private Citizens & Property,France,Incendiary
Armed Assault,Private Citizens & Property,France,Incendiary
Armed Assault,Private Citizens & Property,France,Incendiary
Armed Assault,Private Citizens & Property,France,Incendiary
Armed Assault,Educational Institution,Lebanon,Firearms
Armed Assault,Private Citizens & Property,Sri Lanka,Unknown
Hostage Taking (Kidnapping),Tourists,Switzerland,Unknown
Facility/Infrastructure Attack,Business,Peru,Firearms
Assassination,Private Citizens & Property,Northern Ireland,Firearms
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,International,Explosives/Bombs/Dynamite
Armed Assault,Military,Guatemala,Firearms
Bombing/Explosion,Military,Israel,Explosives/Bombs/Dynamite
Unknown,Private Citizens & Property,Peru,Unknown
Bombing/Explosion,Government (General),Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Airports & Aircraft,Russia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Germany,Unknown
Bombing/Explosion,Airports & Aircraft,United States,Explosives/Bombs/Dynamite
Armed Assault,Maritime,Soviet Union,Firearms
Armed Assault,Maritime,Soviet Union,Firearms
Hijacking,Maritime,Philippines,Unknown
Assassination,Police,South Africa,Unknown
Armed Assault,Private Citizens & Property,France,Incendiary
Hostage Taking (Kidnapping),Utilities,Colombia,Explosives/Bombs/Dynamite
Armed Assault,Military,Suriname,Firearms
Hostage Taking (Kidnapping),Military,Suriname,Firearms
Bombing/Explosion,Transportation,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Germany,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Israel,Explosives/Bombs/Dynamite
Assassination,Military,Lebanon,Explosives/Bombs/Dynamite
Armed Assault,Military,Colombia,Firearms
Armed Assault,Private Citizens & Property,El Salvador,Firearms
Armed Assault,Private Citizens & Property,El Salvador,Firearms
Armed Assault,Private Citizens & Property,El Salvador,Firearms
Bombing/Explosion,Private Citizens & Property,Honduras,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Armed Assault,Military,Peru,Firearms
Assassination,Government (General),Peru,Unknown
Assassination,Government (General),Peru,Unknown
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Germany,Explosives/Bombs/Dynamite
Armed Assault,Military,Colombia,Firearms
Armed Assault,Private Citizens & Property,El Salvador,Firearms
Armed Assault,Transportation,India,Firearms
Bombing/Explosion,Government (Diplomatic),United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),France,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Greece,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Greece,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Religious Figures/Institutions,Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,United States,Explosives/Bombs/Dynamite
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Police,South Africa,Firearms
Assassination,Police,Northern Ireland,Firearms
Unknown,Police,South Africa,Unknown
Bombing/Explosion,Business,Greece,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Pakistan,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Peru,Incendiary
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Private Citizens & Property,Peru,Incendiary
Armed Assault,Military,Colombia,Firearms
Armed Assault,Utilities,El Salvador,Firearms
Armed Assault,Private Citizens & Property,India,Melee
Unknown,Utilities,Peru,Unknown
Unknown,Private Citizens & Property,Peru,Unknown
Armed Assault,Private Citizens & Property,South Africa,Firearms
Armed Assault,Police,South Africa,Firearms
Unknown,Private Citizens & Property,South Africa,Unknown
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Israel,Explosives/Bombs/Dynamite
Armed Assault,Government (General),Nicaragua,Firearms
Unknown,Police,Peru,Unknown
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Unknown,Police,South Africa,Unknown
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Assassination,Government (General),South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Sri Lanka,Explosives/Bombs/Dynamite
Armed Assault,Military,Colombia,Firearms
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Assassination,Government (General),Colombia,Firearms
Assassination,Government (General),Colombia,Firearms
Assassination,Government (General),India,Firearms
Assassination,Government (General),Peru,Explosives/Bombs/Dynamite
Assassination,Police,Northern Ireland,Firearms
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Thailand,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Peru,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Peru,Unknown
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Assassination,Government (General),Colombia,Firearms
Hostage Taking (Kidnapping),Educational Institution,Sri Lanka,Unknown
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Hostage Taking (Barricade Incident),Educational Institution,Peru,Unknown
Bombing/Explosion,Telecommunication,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Lebanon,Explosives/Bombs/Dynamite
Armed Assault,Business,Colombia,Firearms
Armed Assault,Business,Colombia,Firearms
Armed Assault,Military,Nicaragua,Firearms
Assassination,Private Citizens & Property,Peru,Melee
Bombing/Explosion,Government (General),South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Lebanon,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Telecommunication,Argentina,Melee
Unknown,Private Citizens & Property,Peru,Unknown
Assassination,Religious Figures/Institutions,Chile,Firearms
Armed Assault,Private Citizens & Property,France,Incendiary
Bombing/Explosion,Police,Northern Ireland,Explosives/Bombs/Dynamite
Assassination,Government (General),Peru,Firearms
Assassination,Police,South Africa,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Sri Lanka,Unknown
Bombing/Explosion,Government (General),South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Lebanon,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Colombia,Firearms
Bombing/Explosion,Military,Great Britain,Explosives/Bombs/Dynamite
Assassination,Journalists & Media,Honduras,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Iran,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Sri Lanka,Firearms
Bombing/Explosion,Government (General),Venezuela,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Lebanon,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Business,Nicaragua,Firearms
Unknown,Transportation,Sri Lanka,Unknown
Bombing/Explosion,Religious Figures/Institutions,Sri Lanka,Explosives/Bombs/Dynamite
Assassination,Private Citizens & Property,Peru,Firearms
Hostage Taking (Kidnapping),Police,Peru,Unknown
Hostage Taking (Kidnapping),Government (General),Sri Lanka,Unknown
Bombing/Explosion,Private Citizens & Property,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Uruguay,Unknown
Armed Assault,Police,Colombia,Firearms
Armed Assault,Private Citizens & Property,Colombia,Firearms
Unknown,Airports & Aircraft,Turkey,Unknown
Assassination,Government (General),Peru,Firearms
Assassination,Police,Peru,Firearms
Assassination,Private Citizens & Property,Peru,Unknown
Bombing/Explosion,Business,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Armed Assault,Military,Colombia,Firearms
Assassination,Military,Northern Ireland,Unknown
Assassination,Government (General),Northern Ireland,Firearms
Armed Assault,Private Citizens & Property,Israel,Incendiary
Bombing/Explosion,Police,Peru,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,El Salvador,Firearms
Armed Assault,Military,Nicaragua,Firearms
Hostage Taking (Barricade Incident),Journalists & Media,Peru,Firearms
Hostage Taking (Barricade Incident),Journalists & Media,Peru,Firearms
Assassination,Private Citizens & Property,Sri Lanka,Unknown
Assassination,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Turkey,Explosives/Bombs/Dynamite
Unknown,Military,Colombia,Unknown
Armed Assault,Private Citizens & Property,Colombia,Firearms
Armed Assault,Military,Israel,Firearms
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,United States,Incendiary
Assassination,Government (General),Colombia,Firearms
Bombing/Explosion,Telecommunication,Bolivia,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,El Salvador,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Government (Diplomatic),Turkey,Incendiary
Bombing/Explosion,Business,Israel,Explosives/Bombs/Dynamite
Armed Assault,Military,Guatemala,Firearms
Armed Assault,Police,Peru,Firearms
Assassination,Police,Peru,Firearms
Assassination,Private Citizens & Property,Denmark,Firearms
Bombing/Explosion,Military,Colombia,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Chile,Incendiary
Facility/Infrastructure Attack,Business,Chile,Incendiary
Armed Assault,Transportation,Chile,Incendiary
Armed Assault,Transportation,Chile,Incendiary
Facility/Infrastructure Attack,Government (General),Chile,Incendiary
Bombing/Explosion,Government (General),Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Peru,Explosives/Bombs/Dynamite
Armed Assault,Police,Colombia,Firearms
Bombing/Explosion,Military,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Food or Water Supply,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Food or Water Supply,Peru,Explosives/Bombs/Dynamite
